id,name,structure,parent_id,brand,dimension,installation_type,material,package_content,warranty
5824,Table Top Wash Basin - New Torus-10003,standalone,,SONET,415x340x170 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5823,Table Top Wash Basin - New Torus,standalone,,SONET,510x340x180 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5822,Table Top Wash Basin - Rocky,standalone,,SONET,460x460 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5821,Table Top Wash Basin - Hexa,standalone,,SONET,430x435x115 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5820,Table Top Wash Basin - Livon,standalone,,SONET,520x360x120 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5819,Table Top Wash Basin - Torent,standalone,,SONET,440x440x110 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5818,Table Top Wash Basin - Ricon-001,standalone,,SONET,400x400x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5817,Table Top Wash Basin - Ricon,standalone,,SONET,400x400x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5816,Table Top Wash Basin - Liza,standalone,,SONET,330x290x110 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5815,Table Top Wash Basin - Cross,standalone,,SONET,660x430x135 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5814,Table Top Wash Basin - Leaf-001,standalone,,SONET,655x370 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5813,Table Top Wash Basin - Leaf,standalone,,SONET,655x370 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5812,Table Top Wash Basin - Selvo-001,standalone,,SONET,505x360x135 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5811,Table Top Wash Basin - Selvo,standalone,,SONET,505x360x135 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5810,Table Top Wash Basin - Titanic-001,standalone,,SONET,695x365x190 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5809,Table Top Wash Basin - Titanic,standalone,,SONET,695x365x190 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5808,Table Top Wash Basin - Solo-6006,standalone,,SONET,405x405 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5807,Table Top Wash Basin - Solo-6005,standalone,,SONET,405x405 MM,TABLR TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5806,Table Top Wash Basin - Solo-6004,standalone,,SONET,405x405 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
